'hood	noun. (slang) a neighborhood
's gravenhage	noun. the site of the royal residence and the de facto capital in the western part of the Netherlands; seat of the International Court of Justice
'tween	adverb. in between
'tween decks	adverb. in the space between decks, on a ship
.22	noun. a .22 caliber firearm (pistol or rifle)
.22 caliber	adjective. of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.22 calibre	adjective. of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.22-caliber	adjective. of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.22-calibre	adjective. of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.38 caliber	adjective. of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.38 calibre	adjective. of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.38-caliber	adjective. of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.38-calibre	adjective. of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.45 caliber	adjective. of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
.45 calibre	adjective. of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
.45-caliber	adjective. of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
.45-calibre	adjective. of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
0	noun. a mathematical element that when added to another number yields the same number | adjective. indicating the absence of any or all units under consideration
1	noun. the smallest whole number or a numeral representing this number | adjective. used of a single unit or thing; not two or more
1 chronicles	noun. the first of two Old Testament books telling the history of Judah and Israel until the return from the Babylonian Captivity in 536 BC
1 esdras	noun. an Apocryphal book consisting of a compilation from I Chronicles and II Chronicles and Ezra and Nehemiah
1 kings	noun. the first of two Old Testament books telling the histories of the kings of Judah and Israel
1 maccabees	noun. an Apocryphal book describing the life of Judas Maccabaeus
1 samuel	noun. the first of two books in the Old Testament that tell of Saul and David
1-dodecanol	noun. a colorless insoluble solid alcohol used to make detergents and pharmaceuticals
1-hitter	noun. a game in which a pitcher allows the opposing team only one hit
10	noun. the cardinal number that is the sum of nine and one; the base of the decimal system | adjective. being one more than nine
10-membered	adjective. of a chemical compound having a ring with ten members
100	noun. ten 10s | adjective. being ten more than ninety
1000	noun. the cardinal number that is the product of 10 and 100 | adjective. denoting a quantity consisting of 1,000 items or units
10000	noun. the cardinal number that is the product of ten and one thousand
100000	noun. the cardinal number that is the fifth power of ten
1000000	noun. the number that is represented as a one followed by 6 zeros
1000000000	noun. the number that is represented as a one followed by 9 zeros
1000000000000	noun. the number that is represented as a one followed by 12 zeros | noun. the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
1000th	adjective. the ordinal number of one thousand in counting order
100th	adjective. the ordinal number of one hundred in counting order
101	adjective. being one more than one hundred
101st	adjective. the ordinal number of one hundred one in counting order
105	adjective. being five more than one hundred
105th	adjective. the ordinal number of one hundred five in counting order
10th	adjective. coming next after the ninth and just before the eleventh in position
11	noun. the cardinal number that is the sum of ten and one | adjective. being one more than ten
11 november	noun. the feast of Saint Martin; a quarter day in Scotland
11-plus	noun. (formerly in Britain) an examination taken by 11 and 12 year old students to select suitable candidates for grammar school
110	adjective. being ten more than one hundred
110th	adjective. the ordinal number of one hundred ten in counting order
115	adjective. being five more than one hundred ten
115th	adjective. the ordinal number of one hundred fifteen in counting order
11th	adjective. coming next after the tenth and just before the twelfth in position
12	noun. the cardinal number that is the sum of eleven and one | adjective. denoting a quantity consisting of 12 items or units
12-tone music	noun. a type of serial music introduced by Arnold Schoenberg; uses a tone row formed by the twelve semitones of the chromatic scale (and inverted or backward versions of the row)
12-tone system	noun. a type of serial music introduced by Arnold Schoenberg; uses a tone row formed by the twelve semitones of the chromatic scale (and inverted or backward versions of the row)
120	noun. the cardinal number that is the product of ten and twelve | adjective. being ten more than one hundred ten
120th	adjective. the ordinal number of one hundred twenty in counting order
125	adjective. being five more than one hundred twenty
125th	adjective. the ordinal number of one hundred twenty-five in counting order
12th	adjective. coming next after the eleventh and just before the thirteenth in position
13	noun. the cardinal number that is the sum of twelve and one | adjective. being one more than twelve
130	adjective. being ten more than one hundred twenty
130th	adjective. the ordinal number of one hundred thirty in counting order
135	adjective. being five more than one hundred thirty
135th	adjective. the ordinal number of one hundred thirty-five in counting order
13th	adjective. coming next after the twelfth in position
14	noun. the cardinal number that is the sum of thirteen and one | adjective. being one more than thirteen
14 july	noun. a legal holiday in France celebrating the storming of the Paris bastille in 1789
140	adjective. being ten more than one hundred thirty
